ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
1,FELIDAE,Acinonyx,Acinonyx jubatus,sedentary,0,0,1,0,0,1,0,1,0
2,MURIDAE,Acomys,Acomys russatus,sedentary,0,0,1,0,0,0,0,1,0
3,SCIURIDAE,Aeretes,Aeretes melanopterus,sedentary,0,0,1,0,0,0,0,1,0
4,AILURIDAE,Ailurus,Ailurus fulgens,sedentary,0,0,1,0,0,0,0,1,0
5,CERVIDAE,Alces,Alces alces,colonizer,1,0,0,0,0,0,0,1,0
6,CERVIDAE,Alces,Alces americanus,colonizer,1,0,0,0,0,0,1,1,1
7,DIPODIDAE,Allactaga,Allactaga balikunica,sedentary,0,0,1,0,0,0,0,1,0
8,DIPODIDAE,Allactaga,Allactaga bullata,sedentary,0,0,1,0,0,0,0,1,0
9,DIPODIDAE,Allactaga,Allactaga elater,sedentary,0,0,1,0,0,0,0,1,0
10,DIPODIDAE,Allactaga,Allactaga euphratica,sedentary,0,0,1,0,0,0,0,1,0
11,DIPODIDAE,Allactaga,Allactaga hotsoni,sedentary,0,0,1,0,0,0,0,1,0
12,DIPODIDAE,Allactaga,Allactaga major,sedentary,0,0,1,0,0,0,0,1,0
13,DIPODIDAE,Allactaga,Allactaga severtzovi,sedentary,0,0,1,0,0,0,0,1,0
14,DIPODIDAE,Allactaga,Allactaga sibirica,sedentary,0,0,1,0,0,0,0,1,0
15,DIPODIDAE,Allactaga,Allactaga vinogradovi,sedentary,0,0,1,0,0,0,0,1,0
16,DIPODIDAE,Allactaga,Allactaga williamsi,sedentary,0,0,1,0,0,0,0,1,0
17,DIPODIDAE,Allactodipus,Allactodipus bobrinskii,sedentary,0,0,1,0,0,0,0,1,0
18,CRICETIDAE,Allocricetulus,Allocricetulus curtatus,sedentary,0,0,1,0,0,1,0,1,0
19,CRICETIDAE,Allocricetulus,Allocricetulus eversmanni,sedentary,0,0,1,0,0,1,0,1,0
20,CANIDAE,Alopex,Alopex lagopus,sedentary,0,0,1,1,1,1,1,1,1
21,CRICETIDAE,Alticola,Alticola albicaudus,sedentary,0,0,1,0,0,1,0,1,0
22,CRICETIDAE,Alticola,Alticola argentatus,sedentary,0,0,1,0,0,1,0,1,0
23,CRICETIDAE,Alticola,Alticola barakshin,sedentary,0,0,1,0,0,1,0,1,0
24,CRICETIDAE,Alticola,Alticola lemminus,sedentary,0,0,1,0,0,1,0,1,0
25,CRICETIDAE,Alticola,Alticola macrotis,sedentary,0,0,1,0,0,1,0,1,0
26,CRICETIDAE,Alticola,Alticola montosa,sedentary,0,0,1,0,0,1,0,1,0
27,CRICETIDAE,Alticola,Alticola olchonensis,sedentary,0,0,1,0,0,1,0,1,0
28,CRICETIDAE,Alticola,Alticola roylei,sedentary,0,0,1,0,0,1,0,1,0
29,CRICETIDAE,Alticola,Alticola semicanus,sedentary,0,0,1,0,0,1,0,1,0
30,CRICETIDAE,Alticola,Alticola stoliczkanus,sedentary,0,0,1,0,0,1,0,1,0
31,CRICETIDAE,Alticola,Alticola strelzowi,sedentary,0,0,1,0,0,1,0,1,0
32,CRICETIDAE,Alticola,Alticola tuvinicus,sedentary,0,0,1,0,0,1,0,1,0
33,SCIURIDAE,Ammospermophilus,Ammospermophilus harrisii,sedentary,0,0,1,0,0,0,1,0,0
34,SCIURIDAE,Ammospermophilus,Ammospermophilus interpres,sedentary,0,0,1,0,0,0,1,0,0
35,SCIURIDAE,Ammospermophilus,Ammospermophilus leucurus,sedentary,0,0,1,0,0,0,1,0,0
36,SCIURIDAE,Ammospermophilus,Ammospermophilus nelsoni,sedentary,0,0,1,0,0,0,1,0,0
37,ANTILOCAPRIDAE,Antilocapra,Antilocapra americana,sedentary,0,0,1,0,0,0,1,0,0
38,APLODONTIIDAE,Aplodontia,Aplodontia rufa,colonizer,0,1,0,0,0,0,1,0,0
39,MURIDAE,Apodemus,Apodemus agrarius,sedentary,0,0,1,0,0,0,0,1,0
40,MURIDAE,Apodemus,Apodemus alpicola,sedentary,0,0,1,0,0,0,0,1,0
41,MURIDAE,Apodemus,Apodemus draco,sedentary,0,0,1,0,0,0,0,1,0
42,MURIDAE,Apodemus,Apodemus epimelas,sedentary,0,0,1,0,0,0,0,1,0
43,MURIDAE,Apodemus,Apodemus flavicollis,sedentary,0,0,1,0,0,0,0,1,0
44,MURIDAE,Apodemus,Apodemus hyrcanicus,sedentary,0,0,1,0,0,0,0,1,0
45,MURIDAE,Apodemus,Apodemus latronum,sedentary,0,0,1,0,0,0,0,1,0
46,MURIDAE,Apodemus,Apodemus mystacinus,sedentary,0,0,1,0,0,0,0,1,0
47,MURIDAE,Apodemus,Apodemus pallipes,sedentary,0,0,1,0,0,0,0,1,0
48,MURIDAE,Apodemus,Apodemus peninsulae,sedentary,0,0,1,0,0,0,0,1,0
49,MURIDAE,Apodemus,Apodemus ponticus,sedentary,0,0,1,0,0,0,0,1,0
50,MURIDAE,Apodemus,Apodemus rusiges,sedentary,0,0,1,0,0,0,0,1,0
51,MURIDAE,Apodemus,Apodemus sylvaticus,sedentary,0,0,1,0,0,0,0,1,0
52,MURIDAE,Apodemus,Apodemus uralensis,sedentary,0,0,1,0,0,0,0,1,0
53,MURIDAE,Apodemus,Apodemus witherbyi,sedentary,0,0,1,0,0,0,0,1,0
54,CRICETIDAE,Arborimus,Arborimus albipes,sedentary,0,0,1,0,0,1,1,0,0
55,CRICETIDAE,Arborimus,Arborimus longicaudus,sedentary,0,0,1,0,0,1,1,0,0
56,CRICETIDAE,Arborimus,Arborimus pomo,sedentary,0,0,1,0,0,1,1,0,0
57,MUSTELIDAE,Arctonyx,Arctonyx collaris,sedentary,0,0,1,0,0,1,0,1,0
58,CRICETIDAE,Arvicola,Arvicola amphibius,sedentary,0,0,1,0,0,1,0,1,0
59,CRICETIDAE,Arvicola,Arvicola sapidus,sedentary,0,0,1,0,0,1,0,1,0
60,CRICETIDAE,Arvicola,Arvicola scherman,sedentary,0,0,1,0,0,1,0,1,0
61,ATELIDAE,Ateles,Ateles geoffroyi,sedentary,0,0,1,0,0,0,1,0,0
62,CRICETIDAE,Baiomys,Baiomys musculus,sedentary,0,0,1,0,0,1,1,0,0
63,CRICETIDAE,Baiomys,Baiomys taylori,sedentary,0,0,1,0,0,1,1,0,0
64,MURIDAE,Bandicota,Bandicota bengalensis,sedentary,0,0,1,0,0,0,0,1,0
65,PROCYONIDAE,Bassariscus,Bassariscus astutus,sedentary,0,0,1,0,0,0,1,0,0
66,PROCYONIDAE,Bassariscus,Bassariscus sumichrasti,sedentary,0,0,1,0,0,0,1,0,0
67,BOVIDAE,Bison,Bison bison,colonizer,1,0,0,0,0,0,1,0,0
68,BOVIDAE,Bison,Bison bonasus,colonizer,1,0,0,0,0,0,0,1,0
69,CRICETIDAE,Blanfordimys,Blanfordimys afghanus,sedentary,0,0,1,0,0,1,0,1,0
70,CRICETIDAE,Blanfordimys,Blanfordimys bucharensis,sedentary,0,0,1,0,0,1,0,1,0
71,SORICIDAE,Blarina,Blarina brevicauda,colonizer,0,1,0,0,0,0,1,0,0
72,SORICIDAE,Blarina,Blarina carolinensis,colonizer,0,1,0,0,0,0,1,0,0
73,SORICIDAE,Blarina,Blarina hylophaga,colonizer,0,1,0,0,0,0,1,0,0
74,SORICIDAE,Blarinella,Blarinella griselda,colonizer,0,1,0,0,0,0,0,1,0
75,BOVIDAE,Bos,Bos mutus,sedentary,0,0,1,0,0,1,0,1,0
76,MURIDAE,Brachiones,Brachiones przewalskii,sedentary,0,0,1,0,0,0,0,1,0
77,LEPORIDAE,Brachylagus,Brachylagus idahoensis,sedentary,0,0,1,0,0,1,1,0,0
78,BOVIDAE,Budorcas,Budorcas taxicolor,sedentary,0,0,1,0,0,1,0,1,0
79,CALOMYSCIDAE,Calomyscus,Calomyscus bailwardi,sedentary,0,0,1,0,0,0,0,1,0
80,CALOMYSCIDAE,Calomyscus,Calomyscus baluchi,sedentary,0,0,1,0,0,0,0,1,0
81,CALOMYSCIDAE,Calomyscus,Calomyscus elburzensis,sedentary,0,0,1,0,0,0,0,1,0
82,CALOMYSCIDAE,Calomyscus,Calomyscus grandis,sedentary,0,0,1,0,0,0,0,1,0
83,CALOMYSCIDAE,Calomyscus,Calomyscus mystax,sedentary,0,0,1,0,0,0,0,1,0
84,CALOMYSCIDAE,Calomyscus,Calomyscus urartensis,sedentary,0,0,1,0,0,0,0,1,0
85,DIDELPHIDAE,Caluromys,Caluromys derbianus,sedentary,0,0,1,0,0,0,1,0,0
86,CAMELIDAE,Camelus,Camelus ferus,colonizer,0,1,0,0,0,0,0,1,0
87,CANIDAE,Canis,Canis aureus,colonizer,0,1,0,0,0,0,0,1,0
88,CANIDAE,Canis,Canis latrans,colonizer,0,1,0,0,0,0,1,0,0
89,CANIDAE,Canis,Canis lupus,colonizer,0,1,0,0,0,0,1,1,1
90,CANIDAE,Canis,Canis rufus,colonizer,0,1,0,0,0,0,1,0,0
91,CRICETIDAE,Cansumys,Cansumys canus,sedentary,0,0,1,0,0,1,0,1,0
92,BOVIDAE,Capra,Capra aegagrus,sedentary,0,0,1,0,0,1,0,1,0
93,BOVIDAE,Capra,Capra caucasica,sedentary,0,0,1,0,0,1,0,1,0
94,BOVIDAE,Capra,Capra cylindricornis,sedentary,0,0,1,0,0,1,0,1,0
95,BOVIDAE,Capra,Capra falconeri,sedentary,0,0,1,0,0,1,0,1,0
96,BOVIDAE,Capra,Capra ibex,sedentary,0,0,1,0,0,1,0,1,0
97,BOVIDAE,Capra,Capra pyrenaica,sedentary,0,0,1,0,0,1,0,1,0
98,BOVIDAE,Capra,Capra sibirica,sedentary,0,0,1,0,0,1,0,1,0
99,CERVIDAE,Capreolus,Capreolus capreolus,sedentary,0,0,1,0,0,1,0,1,0
100,CERVIDAE,Capreolus,Capreolus pygargus,sedentary,0,0,1,0,0,1,0,1,0
101,BOVIDAE,Capricornis,Capricornis milneedwardsii,sedentary,0,0,1,0,0,1,0,1,0
102,FELIDAE,Caracal,Caracal caracal,sedentary,0,0,1,0,0,1,0,1,0
103,DIPODIDAE,Cardiocranius,Cardiocranius paradoxus,sedentary,0,0,1,0,0,0,0,1,0
104,CRICETIDAE,Caryomys,Caryomys eva,sedentary,0,0,1,0,0,1,0,1,0
105,CRICETIDAE,Caryomys,Caryomys inez,sedentary,0,0,1,0,0,1,0,1,0
106,CASTORIDAE,Castor,Castor canadensis,sedentary,0,0,1,0,1,0,1,0,0
107,CASTORIDAE,Castor,Castor fiber,sedentary,0,0,1,0,1,0,0,1,0
108,CERVIDAE,Cervus,Cervus elaphus,colonizer,1,0,0,0,0,0,1,1,1
109,CERVIDAE,Cervus,Cervus nippon,colonizer,1,0,0,0,0,0,0,1,0
110,HETEROMYIDAE,Chaetodipus,Chaetodipus arenarius,sedentary,0,0,1,0,0,0,1,0,0
111,HETEROMYIDAE,Chaetodipus,Chaetodipus artus,sedentary,0,0,1,0,0,0,1,0,0
112,HETEROMYIDAE,Chaetodipus,Chaetodipus baileyi,sedentary,0,0,1,0,0,0,1,0,0
113,HETEROMYIDAE,Chaetodipus,Chaetodipus californicus,sedentary,0,0,1,0,0,0,1,0,0
114,HETEROMYIDAE,Chaetodipus,Chaetodipus dalquesti,sedentary,0,0,1,0,0,0,1,0,0
115,HETEROMYIDAE,Chaetodipus,Chaetodipus eremicus,sedentary,0,0,1,0,0,0,1,0,0
116,HETEROMYIDAE,Chaetodipus,Chaetodipus fallax,sedentary,0,0,1,0,0,0,1,0,0
117,HETEROMYIDAE,Chaetodipus,Chaetodipus formosus,sedentary,0,0,1,0,0,0,1,0,0
118,HETEROMYIDAE,Chaetodipus,Chaetodipus goldmani,sedentary,0,0,1,0,0,0,1,0,0
119,HETEROMYIDAE,Chaetodipus,Chaetodipus hispidus,sedentary,0,0,1,0,0,0,1,0,0
120,HETEROMYIDAE,Chaetodipus,Chaetodipus intermedius,sedentary,0,0,1,0,0,0,1,0,0
121,HETEROMYIDAE,Chaetodipus,Chaetodipus lineatus,sedentary,0,0,1,0,0,0,1,0,0
122,HETEROMYIDAE,Chaetodipus,Chaetodipus nelsoni,sedentary,0,0,1,0,0,0,1,0,0
123,HETEROMYIDAE,Chaetodipus,Chaetodipus penicillatus,sedentary,0,0,1,0,0,0,1,0,0
124,HETEROMYIDAE,Chaetodipus,Chaetodipus pernix,sedentary,0,0,1,0,0,0,1,0,0
125,HETEROMYIDAE,Chaetodipus,Chaetodipus rudinoris,sedentary,0,0,1,0,0,0,1,0,0
126,HETEROMYIDAE,Chaetodipus,Chaetodipus spinatus,sedentary,0,0,1,0,0,0,1,0,0
127,SORICIDAE,Chimarrogale,Chimarrogale himalayica,colonizer,0,1,0,0,0,0,0,1,0
128,SORICIDAE,Chimarrogale,Chimarrogale styani,colonizer,0,1,0,0,0,0,0,1,0
129,CRICETIDAE,Chionomys,Chionomys gud,sedentary,0,0,1,0,0,1,0,1,0
130,CRICETIDAE,Chionomys,Chionomys nivalis,sedentary,0,0,1,0,0,1,0,1,0
131,CRICETIDAE,Chionomys,Chionomys roberti,sedentary,0,0,1,0,0,1,0,1,0
132,DIDELPHIDAE,Chironectes,Chironectes minimus,sedentary,0,0,1,0,0,0,1,0,0
133,SORICIDAE,Chodsigoa,Chodsigoa hypsibia,colonizer,0,1,0,0,0,0,0,1,0
134,TALPIDAE,Condylura,Condylura cristata,colonizer,0,1,0,0,0,0,1,0,0
135,MEPHITIDAE,Conepatus,Conepatus leuconotus,sedentary,0,0,1,0,0,0,1,0,0
136,MEPHITIDAE,Conepatus,Conepatus semistriatus,sedentary,0,0,1,0,0,0,1,0,0
137,GEOMYIDAE,Cratogeomys,Cratogeomys castanops,sedentary,0,0,1,0,0,0,1,0,0
138,GEOMYIDAE,Cratogeomys,Cratogeomys fumosus,sedentary,0,0,1,0,0,0,1,0,0
139,GEOMYIDAE,Cratogeomys,Cratogeomys goldmani,sedentary,0,0,1,0,0,0,1,0,0
140,GEOMYIDAE,Cratogeomys,Cratogeomys merriami,sedentary,0,0,1,0,0,0,1,0,0
141,GEOMYIDAE,Cratogeomys,Cratogeomys planiceps,sedentary,0,0,1,0,0,0,1,0,0
142,CRICETIDAE,Cricetulus,Cricetulus alticola,sedentary,0,0,1,0,0,1,0,1,0
143,CRICETIDAE,Cricetulus,Cricetulus barabensis,sedentary,0,0,1,0,0,1,0,1,0
144,CRICETIDAE,Cricetulus,Cricetulus kamensis,sedentary,0,0,1,0,0,1,0,1,0
145,CRICETIDAE,Cricetulus,Cricetulus lama,sedentary,0,0,1,0,0,1,0,1,0
146,CRICETIDAE,Cricetulus,Cricetulus longicaudatus,sedentary,0,0,1,0,0,1,0,1,0
147,CRICETIDAE,Cricetulus,Cricetulus migratorius,sedentary,0,0,1,0,0,1,0,1,0
148,CRICETIDAE,Cricetulus,Cricetulus sokolovi,sedentary,0,0,1,0,0,1,0,1,0
149,CRICETIDAE,Cricetulus,Cricetulus tibetanus,sedentary,0,0,1,0,0,1,0,1,0
150,CRICETIDAE,Cricetus,Cricetus cricetus,sedentary,0,0,1,0,0,1,0,1,0
151,SORICIDAE,Crocidura,Crocidura armenica,colonizer,0,1,0,0,0,0,0,1,0
152,SORICIDAE,Crocidura,Crocidura attenuata,colonizer,0,1,0,0,0,0,0,1,0
153,SORICIDAE,Crocidura,Crocidura caspica,colonizer,0,1,0,0,0,0,0,1,0
154,SORICIDAE,Crocidura,Crocidura gmelini,colonizer,0,1,0,0,0,0,0,1,0
156,SORICIDAE,Crocidura,Crocidura katinka,colonizer,0,1,0,0,0,0,0,1,0
157,SORICIDAE,Crocidura,Crocidura lasiura,colonizer,0,1,0,0,0,0,0,1,0
158,SORICIDAE,Crocidura,Crocidura leucodon,colonizer,0,1,0,0,0,0,0,1,0
159,SORICIDAE,Crocidura,Crocidura pergrisea,colonizer,0,1,0,0,0,0,0,1,0
160,SORICIDAE,Crocidura,Crocidura pullata,colonizer,0,1,0,0,0,0,0,1,0
161,SORICIDAE,Crocidura,Crocidura russula,colonizer,0,1,0,0,0,0,0,1,0
163,SORICIDAE,Crocidura,Crocidura serezkyensis,colonizer,0,1,0,0,0,0,0,1,0
164,SORICIDAE,Crocidura,Crocidura shantungensis,colonizer,0,1,0,0,0,0,0,1,0
165,SORICIDAE,Crocidura,Crocidura sibirica,colonizer,0,1,0,0,0,0,0,1,0
166,SORICIDAE,Crocidura,Crocidura suaveolens,colonizer,0,1,0,0,0,0,0,1,0
167,SORICIDAE,Crocidura,Crocidura zarudnyi,colonizer,0,1,0,0,0,0,0,1,0
168,SORICIDAE,Cryptotis,Cryptotis alticola,colonizer,0,1,0,0,0,0,1,0,0
169,SORICIDAE,Cryptotis,Cryptotis goldmani,colonizer,0,1,0,0,0,0,1,0,0
170,SORICIDAE,Cryptotis,Cryptotis magna,colonizer,0,1,0,0,0,0,1,0,0
171,SORICIDAE,Cryptotis,Cryptotis mayensis,colonizer,0,1,0,0,0,0,1,0,0
172,SORICIDAE,Cryptotis,Cryptotis mexicana,colonizer,0,1,0,0,0,0,1,0,0
173,SORICIDAE,Cryptotis,Cryptotis obscura,colonizer,0,1,0,0,0,0,1,0,0
174,SORICIDAE,Cryptotis,Cryptotis parva,colonizer,0,1,0,0,0,0,1,0,0
175,SORICIDAE,Cryptotis,Cryptotis peregrina,colonizer,0,1,0,0,0,0,1,0,0
176,SORICIDAE,Cryptotis,Cryptotis phillipsii,colonizer,0,1,0,0,0,0,1,0,0
177,CUNICULIDAE,Cuniculus,Cuniculus paca,sedentary,0,0,1,0,0,0,1,0,0
178,CANIDAE,Cuon,Cuon alpinus,sedentary,0,0,1,0,0,1,0,1,0
179,SCIURIDAE,Cynomys,Cynomys gunnisoni,sedentary,0,0,1,0,0,0,1,0,0
180,SCIURIDAE,Cynomys,Cynomys leucurus,sedentary,0,0,1,0,0,0,1,0,0
181,SCIURIDAE,Cynomys,Cynomys ludovicianus,sedentary,0,0,1,0,0,0,1,0,0
182,SCIURIDAE,Cynomys,Cynomys mexicanus,sedentary,0,0,1,0,0,0,1,0,0
183,SCIURIDAE,Cynomys,Cynomys parvidens,sedentary,0,0,1,0,0,0,1,0,0
184,TALPIDAE,Desmana,Desmana moschata,colonizer,0,1,0,0,0,0,0,1,0
185,CRICETIDAE,Dicrostonyx,Dicrostonyx groenlandicus,colonizer,1,0,0,0,0,0,1,0,0
186,CRICETIDAE,Dicrostonyx,Dicrostonyx hudsonius,colonizer,1,0,0,0,0,0,1,0,0
187,CRICETIDAE,Dicrostonyx,Dicrostonyx nelsoni,colonizer,1,0,0,0,0,0,1,0,0
188,CRICETIDAE,Dicrostonyx,Dicrostonyx nunatakensis,colonizer,1,0,0,0,0,0,1,0,0
189,CRICETIDAE,Dicrostonyx,Dicrostonyx richardsoni,colonizer,1,0,0,0,0,0,1,0,0
190,CRICETIDAE,Dicrostonyx,Dicrostonyx torquatus,colonizer,0,1,0,0,0,0,0,1,0
192,HETEROMYIDAE,Dipodomys,Dipodomys venustus,sedentary,0,0,1,0,0,0,1,0,0
193,SORICIDAE,Episoriculus,Episoriculus leucops,colonizer,0,1,0,0,0,0,0,1,0
194,EQUIDAE,Equus,Equus ferus,colonizer,0,1,0,0,0,0,0,1,0
195,EQUIDAE,Equus,Equus hemionus,colonizer,0,1,0,0,0,0,0,1,0
196,EQUIDAE,Equus,Equus kiang,colonizer,0,1,0,0,0,0,0,1,0
197,ERINACEIDAE,Erinaceus,Erinaceus amurensis,colonizer,0,1,0,0,0,0,0,1,0
198,ERINACEIDAE,Erinaceus,Erinaceus concolor,colonizer,0,1,0,0,0,0,0,1,0
199,ERINACEIDAE,Erinaceus,Erinaceus europaeus,colonizer,0,1,0,0,0,0,0,1,0
200,ERINACEIDAE,Erinaceus,Erinaceus roumanicus,colonizer,0,1,0,0,0,0,0,1,0
201,TALPIDAE,Galemys,Galemys pyrenaicus,colonizer,0,1,0,0,0,0,0,1,0
202,GEOMYIDAE,Geomys,Geomys knoxjonesi,sedentary,0,0,1,0,0,0,1,0,0
203,GEOMYIDAE,Geomys,Geomys texensis,sedentary,0,0,1,0,0,0,1,0,0
204,GLIRIDAE,Glis,Glis glis,sedentary,0,0,1,0,0,0,0,1,0
205,MURIDAE,Golunda,Golunda ellioti,sedentary,0,0,1,0,0,0,0,1,0
206,MUSTELIDAE,Gulo,Gulo gulo,colonizer,1,0,0,0,0,0,1,1,1
207,CRICETIDAE,Habromys,Habromys delicatulus,sedentary,0,0,1,0,0,1,1,0,0
208,CRICETIDAE,Habromys,Habromys schmidlyi,sedentary,0,0,1,0,0,1,1,0,0
209,CRICETIDAE,Handleyomys,Handleyomys alfaroi,sedentary,0,0,1,0,0,1,1,0,0
210,ERINACEIDAE,Hemiechinus,Hemiechinus auritus,colonizer,0,1,0,0,0,0,0,1,0
211,HERPESTIDAE,Herpestes,Herpestes edwardsii,sedentary,0,0,1,0,0,0,0,1,0
212,HERPESTIDAE,Herpestes,Herpestes javanicus,sedentary,0,0,1,0,0,0,0,1,0
213,CRICETIDAE,Hodomys,Hodomys alleni,sedentary,0,0,1,0,0,1,1,0,0
214,HYSTRICIDAE,Hystrix,Hystrix brachyura,sedentary,0,0,1,0,0,0,0,1,0
215,CRICETIDAE,Lagurus,Lagurus lagurus,colonizer,1,0,0,0,0,0,0,1,0
